id;time_stamp;content;likes;dislikes
1;2022-08-21T22:23:56;Arkansas purple;49097;34837
2;2022-08-21T21:46:00;monitor;7782;91841
3;2022-08-22T17:53:57;THX fault-tolerant 1080p;81803;92665
4;2022-08-22T06:19:14;Delaware South;46591;70183
5;2022-08-22T14:18:04;Metrics;53828;18978
6;2022-08-21T23:46:35;synthesize;72171;45053
7;2022-08-22T04:08:26;bricks-and-clicks;81861;44900
8;2022-08-22T01:43:21;Knoll PCI lime;36948;33743
9;2022-08-22T14:27:21;Garden;86442;97824
10;2022-08-21T23:47:19;primary ADP Zloty;99032;49735
